gene_callers_id	NCBI_RefSeq_Protein_Accession
2428	CAI3962512.1
2429	CAI3962518.1
2430	CAI3962524.1
2431	CAI3962530.1
2432	CAI3962536.1
2433	CAI3962543.1
2434	CAI3962549.1
2435	CAI3962555.1
2436	CAI3962560.1
2437	CAI3962565.1
2438	CAI3948092.1
2439	CAI3962575.1
2440	CAI3962580.1
2441	CAI3962584.1
2442	CAI3962589.1
2443	CAI3962594.1
2444	CAI3962599.1
2445	CAI3962604.1
2446	CAI3962609.1
2447	CAI3962614.1
2448	CAI3962619.1
2449	CAI3962624.1
2450	CAI3962629.1
2451	CAI3962634.1
2452	CAI3951114.1
2453	CAI3962644.1
2454	CAI3962649.1
2455	CAI3962654.1
2456	CAI3962659.1
2457	CAI3962664.1
2458	CAI3962674.1
2459	CAI3962679.1
2460	CAI3962684.1
2461	CAI3962689.1
2462	CAI3962694.1
2463	CAI3962699.1
2464	CAI3962704.1
2465	CAI3962709.1
2466	CAI3962714.1
2467	CAI3962719.1
2468	CAI3962723.1
2469	CAI3962728.1
2470	CAI3962733.1
2471	CAI3962738.1
2472	CAI3962743.1
2473	CAI3962748.1
2474	CAI3962753.1
2475	CAI3962758.1
2476	CAI3962763.1
2477	CAI3962768.1
2478	CAI3962773.1
2479	CAI3962778.1
2480	CAI3962783.1
2481	CAI3962788.1
2482	CAI3962793.1
2483	CAI3962798.1
2484	CAI3962803.1
2485	CAI3962808.1
2486	CAI3962813.1
2487	CAI3962818.1
2488	CAI3962823.1
2489	CAI3962828.1
2490	CAI3962833.1
2491	CAI3962838.1
2492	CAI3962843.1
2493	CAI3962848.1
2494	CAI3962853.1
2495	CAI3962858.1
2496	CAI3962863.1
2497	CAI3962868.1
2498	CAI3962873.1
2499	CAI3962878.1
2500	CAI3962883.1
2501	CAI3962888.1
2502	CAI3962893.1
2503	CAI3962899.1
2504	CAI3962904.1
2505	CAI3962909.1
2506	CAI3962914.1
2507	CAI3962919.1
2508	CAI3962924.1
2509	CAI3962929.1
2510	CAI3962934.1
2511	CAI3962939.1
2512	CAI3962944.1
2513	CAI3962949.1
2514	CAI3962954.1
2515	CAI3962959.1
2516	CAI3933297.1
2517	CAI3962969.1
2518	CAI3962974.1
2519	CAI3962979.1
2520	CAI3962984.1
2521	CAI3962989.1
2522	CAI3962994.1
2523	CAI3962999.1
2524	CAI3963004.1
2526	CAI3963009.1
2527	CAI3963014.1
2528	CAI3963019.1
2529	CAI3963024.1
2530	CAI3963029.1
2531	CAI3933278.1
2532	CAI3933261.1
2533	CAI3933244.1
2534	CAI3933225.1
2535	CAI3960701.1
2536	CAI3963054.1
2537	CAI3963059.1
2538	CAI3963064.1
2539	CAI3963069.1
2540	CAI3963074.1
2541	CAI3963079.1
2542	CAI3963084.1
2543	CAI3963089.1
2544	CAI3963099.1
2545	CAI3963104.1
2546	CAI3963109.1
2547	CAI3963114.1
2548	CAI3963119.1
2549	CAI3963124.1
2550	CAI3963129.1
2551	CAI3963134.1
2552	CAI3963139.1
2553	CAI3963144.1
2554	CAI3963150.1
2555	CAI3963155.1
2556	CAI3963160.1
2557	CAI3963165.1
2558	CAI3963170.1
2559	CAI3963175.1
2560	CAI3963181.1
2561	CAI3963187.1
2562	CAI3963192.1
2563	CAI3963198.1
2564	CAI3963203.1
2565	CAI3963208.1
2566	CAI3963213.1
2567	CAI3963218.1
2568	CAI3963221.1
2569	CAI3963226.1
2570	CAI3963236.1
2571	CAI3963241.1
2572	CAI3963246.1
2573	CAI3963251.1
2575	CAI3923595.1
2577	CAI3923595.1
2578	CAI3963266.1
2579	CAI3963271.1
2580	CAI3963276.1
2581	CAI3963281.1
2582	CAI3963286.1
2583	CAI3963291.1
2584	CAI3963295.1
2585	CAI3963300.1
2586	CAI3963305.1
2587	CAI3963310.1
2588	CAI3963315.1
2589	CAI3963320.1
2590	CAI3963325.1
2591	CAI3963330.1
2592	CAI3963335.1
2593	CAI3963340.1
2594	CAI3963345.1
2595	CAI3963350.1
2596	CAI3963355.1
2597	CAI3963360.1
2598	CAI3963365.1
2599	CAI3963370.1
2600	CAI3963375.1
2601	CAI3963380.1
2602	CAI3963385.1
2603	CAI3963390.1
2604	CAI3963395.1
2605	CAI3963400.1
2606	CAI3963405.1
2607	CAI3963410.1
2608	CAI3963415.1
2609	CAI3963420.1
2610	CAI3963425.1
2611	CAI3963430.1
2612	CAI3963435.1
2613	CAI3963440.1
2614	CAI3963445.1
2615	CAI3963450.1
2616	CAI3963455.1
2617	CAI3963460.1
2618	CAI3963465.1
2619	CAI3963470.1
2620	CAI3963475.1
2621	CAI3963480.1
2622	CAI3963485.1
2623	CAI3963490.1
2624	CAI3963495.1
2625	CAI3963500.1
2626	CAI3963505.1
2627	CAI3963510.1
2628	CAI3963515.1
2629	CAI3963520.1
2630	CAI3963525.1
2631	CAI3963530.1
2632	CAI3963535.1
2633	CAI3963540.1
2634	CAI3963545.1
2635	CAI3963550.1
2636	CAI3963555.1
2637	CAI3963560.1
2638	CAI3963565.1
2639	CAI3963570.1
2640	CAI3963575.1
2641	CAI3963580.1
2642	CAI3963585.1
2643	CAI3963590.1
2644	CAI3963595.1
2645	CAI3963600.1
2646	CAI3963605.1
2647	CAI3963610.1
2648	CAI3963615.1
2649	CAI3963620.1
2650	CAI3963625.1
2651	CAI3963630.1
2652	CAI3963635.1
2653	CAI3963640.1
2654	CAI3963645.1
2655	CAI3963650.1
2656	CAI3963655.1
2657	CAI3963660.1
2658	CAI3963665.1
2659	CAI3963670.1
2660	CAI3963675.1
2661	CAI3963680.1
2662	CAI3963685.1
2663	CAI3963690.1
2664	CAI3963700.1
2665	CAI3963705.1
2666	CAI3963710.1
2667	CAI3934714.1
2668	CAI3963721.1
2669	CAI3963726.1
2670	CAI3963732.1
2671	CAI3963737.1
2672	CAI3963741.1
2673	CAI3963746.1
2674	CAI3963751.1
2675	CAI3963756.1
2676	CAI3963761.1
2678	CAI3963766.1
2679	CAI3963771.1
2680	CAI3963776.1
2681	CAI3963781.1
2682	CAI3963786.1
2683	CAI3963791.1
2684	CAI3963796.1
2685	CAI3963801.1
2686	CAI3963806.1
2687	CAI3963811.1
2688	CAI3963816.1
2689	CAI3963821.1
2690	CAI3963826.1
2691	CAI3963831.1
2692	CAI3963836.1
2693	CAI3963841.1
2694	CAI3926119.1
2695	CAI3963851.1
2696	CAI3963856.1
2697	CAI3963861.1
2698	CAI3963866.1
2699	CAI3963871.1
2700	CAI3963876.1
2701	CAI3963881.1
2702	CAI3963886.1
2703	CAI3963891.1
2704	CAI3963896.1
2705	CAI3963901.1
2706	CAI3963906.1
2707	CAI3963911.1
2708	CAI3963916.1
2709	CAI3963921.1
2710	CAI3963926.1
2711	CAI3963931.1
2712	CAI3963936.1
2713	CAI3963941.1
2714	CAI3963946.1
2715	CAI3963951.1
2716	CAI3963956.1
2717	CAI3963961.1
2718	CAI3963966.1
2719	CAI3963971.1
2720	CAI3963976.1
2721	CAI3963981.1
2722	CAI3963986.1
2723	CAI3963991.1
2724	CAI3963996.1
2725	CAI3964001.1
2726	CAI3964006.1
2727	CAI3964011.1
2728	CAI3964016.1
2729	CAI3964021.1
2730	CAI3964026.1
2731	CAI3964031.1
2732	CAI3964036.1
2733	CAI3964041.1
2734	CAI3964046.1
2735	CAI3964051.1
2736	CAI3964057.1
2737	CAI3964062.1
2738	CAI3964067.1
2739	CAI3964073.1
2740	CAI3964078.1
2741	CAI3964083.1
2742	CAI3964088.1
2743	CAI3964093.1
2744	CAI3964098.1
2745	CAI3964103.1
2746	CAI3964108.1
2747	CAI3964113.1
2748	CAI3964118.1
2749	CAI3964123.1
2750	CAI3964128.1
2751	CAI3964133.1
2752	CAI3932472.1
2753	CAI3964143.1
2754	CAI3964148.1
2755	CAI3964153.1
2756	CAI3964158.1
2757	CAI3964163.1
2758	CAI3964168.1
2759	CAI3964173.1
2760	CAI3964178.1
2761	CAI3964183.1
2762	CAI3964187.1
2763	CAI3964192.1
2764	CAI3964202.1
2765	CAI3964207.1
2766	CAI3964212.1
2767	CAI3964217.1
2768	CAI3964222.1
2769	CAI3964227.1
2770	CAI3964233.1
2771	CAI3964238.1
2772	CAI3964243.1
2773	CAI3964248.1
2774	CAI3964253.1
2775	CAI3964258.1
2776	CAI3964263.1
2777	CAI3964268.1
2778	CAI3964278.1
2779	CAI3964283.1
2780	CAI3964288.1
2781	CAI3964293.1
2782	CAI3964303.1
2783	CAI3964308.1
2784	CAI3964313.1
2785	CAI3964318.1
2786	CAI3964323.1
2787	CAI3964328.1
2788	CAI3964333.1
2789	CAI3964338.1
2790	CAI3964343.1
2791	CAI3964348.1
2792	CAI3964353.1
2793	CAI3964358.1
2794	CAI3964363.1
2795	CAI3964368.1
2796	CAI3964373.1
2797	CAI3964378.1
2798	CAI3964383.1
2799	CAI3964388.1
2800	CAI3964393.1
2801	CAI3964398.1
2802	CAI3964403.1
2803	CAI3964408.1
2804	CAI3964413.1
2805	CAI3964418.1
2806	CAI3964423.1
2807	CAI3964428.1
2808	CAI3964433.1
2809	CAI3964438.1
2810	CAI3964443.1
2811	CAI3964448.1
2812	CAI3964453.1
2813	CAI3964458.1
2814	CAI3964463.1
2815	CAI3964468.1
2816	CAI3964473.1
2817	CAI3964478.1
2818	CAI3964483.1
2819	CAI3964489.1
2820	CAI3964494.1
2821	CAI3964499.1
2822	CAI3964504.1
2823	CAI3964509.1
2824	CAI3964514.1
2825	CAI3964519.1
2826	CAI3964524.1
2827	CAI3964529.1
2828	CAI3964534.1
2829	CAI3964539.1
2830	CAI3964544.1
2831	CAI3964549.1
2832	CAI3964554.1
2833	CAI3964559.1
2834	CAI3964564.1
2835	CAI3964569.1
2836	CAI3964574.1
2837	CAI3964579.1
2838	CAI3964584.1
2839	CAI3964589.1
2840	CAI3964594.1
2841	CAI3964599.1
2842	CAI3964605.1
2843	CAI3964610.1
2844	CAI3964615.1
2845	CAI3964620.1
2846	CAI3964625.1
2847	CAI3964630.1
2848	CAI3964635.1
2849	CAI3964640.1
2850	CAI3964645.1
2851	CAI3964650.1
2852	CAI3964655.1
2853	CAI3964660.1
2854	CAI3964665.1
2855	CAI3964670.1
2856	CAI3964675.1
2857	CAI3964680.1
2858	CAI3964685.1
2859	CAI3964690.1
2860	CAI3964695.1
2861	CAI3964700.1
2862	CAI3964705.1
2863	CAI3964710.1
2864	CAI3964715.1
2865	CAI3964720.1
2866	CAI3964725.1
2867	CAI3964730.1
2868	CAI3964735.1
2869	CAI3964740.1
2870	CAI3964745.1
2871	CAI3964750.1
2872	CAI3964755.1
2873	CAI3964760.1
2874	CAI3964765.1
2875	CAI3957165.1
2876	CAI3957182.1
2877	CAI3964781.1
2878	CAI3964786.1
2879	CAI3964791.1
2880	CAI3964796.1
2881	CAI3964801.1
2882	CAI3964806.1
2883	CAI3964811.1
2884	CAI3964816.1
2885	CAI3964826.1
2886	CAI3964831.1
2887	CAI3964836.1
2888	CAI3964841.1
2889	CAI3964846.1
2890	CAI3964850.1
2891	CAI3964855.1
2892	CAI3964860.1
2893	CAI3964865.1
2894	CAI3964870.1
2895	CAI3964875.1
2896	CAI3964880.1
2897	CAI3964885.1
2898	CAI3964890.1
2899	CAI3964896.1
2900	CAI3964901.1
2901	CAI3964906.1
2902	CAI3964911.1
2903	CAI3964913.1
2904	CAI3964918.1
2905	CAI3964923.1
2906	CAI3964928.1
2907	CAI3964933.1
2908	CAI3964938.1
2909	CAI3964943.1
2910	CAI3964948.1
2911	CAI3964954.1
2912	CAI3964959.1
2913	CAI3964964.1
2914	CAI3964969.1
2915	CAI3964974.1
2916	CAI3964979.1
2917	CAI3964984.1
2918	CAI3964989.1
2919	CAI3964995.1
2920	CAI3965000.1
2921	CAI3965005.1
2922	CAI3965010.1
2923	CAI3965015.1
2924	CAI3965020.1
2925	CAI3965025.1
2926	CAI3965030.1
2927	CAI3965035.1
2928	CAI3965041.1
2929	CAI3965046.1
2930	CAI3965051.1
2931	CAI3965056.1
2932	CAI3965061.1
2933	CAI3965066.1
2934	CAI3965071.1
2935	CAI3965076.1
2936	CAI3965081.1
2937	CAI3965086.1
2938	CAI3965092.1
2939	CAI3965097.1
2940	CAI3965102.1
2941	CAI3965107.1
2942	CAI3965112.1
2943	CAI3965117.1
2944	CAI3965122.1
2945	CAI3965127.1
2946	CAI3965132.1
2947	CAI3965137.1
2948	CAI3965142.1
2949	CAI3965147.1
2950	CAI3965152.1
2951	CAI3965157.1
2952	CAI3965162.1
2953	CAI3965167.1
2954	CAI3965172.1
2955	CAI3965177.1
2956	CAI3965182.1
2957	CAI3965187.1
2958	CAI3965192.1
2959	CAI3965197.1
2960	CAI3965202.1
2961	CAI3965207.1
2962	CAI3965212.1
2963	CAI3965217.1
2964	CAI3965222.1
2965	CAI3965227.1
2966	CAI3965232.1
2967	CAI3965237.1
2968	CAI3965242.1
2969	CAI3965247.1
2970	CAI3965252.1
2971	CAI3965257.1
2972	CAI3965262.1
2973	CAI3965267.1
2974	CAI3965272.1
2975	CAI3965277.1
2976	CAI3965287.1
2977	CAI3965292.1
2978	CAI3965297.1
2979	CAI3965302.1
2980	CAI3965307.1
2981	CAI3965312.1
2982	CAI3965317.1
2983	CAI3965322.1
2984	CAI3965327.1
2985	CAI3965332.1
2986	CAI3965337.1
2987	CAI3965344.1
2988	CAI3965349.1
2989	CAI3965354.1
2990	CAI3965359.1
2991	CAI3965364.1
2992	CAI3965369.1
2993	CAI3965374.1
2994	CAI3965379.1
2995	CAI3965384.1
2996	CAI3965389.1
2997	CAI3965394.1
2998	CAI3965399.1
2999	CAI3965404.1
3000	CAI3965409.1
3001	CAI3965414.1
3002	CAI3934714.1
3003	CAI3965424.1
3004	CAI3965428.1
3005	CAI3965433.1
3006	CAI3965438.1
3007	CAI3965443.1
3008	CAI3965448.1
3009	CAI3965453.1
3010	CAI3965458.1
3011	CAI3965463.1
3012	CAI3965468.1
3013	CAI3965473.1
3014	CAI3965478.1
3015	CAI3965481.1
3016	CAI3965486.1
3017	CAI3965491.1
3018	CAI3965496.1
3019	CAI3965501.1
3020	CAI3965506.1
3021	CAI3965511.1
3022	CAI3965521.1
3023	CAI3965526.1
3024	CAI3965531.1
3025	CAI3965536.1
3026	CAI3965541.1
3027	CAI3965546.1
3028	CAI3965551.1
3029	CAI3965556.1
3030	CAI3965561.1
3031	CAI3965566.1
3032	CAI3965571.1
3033	CAI3965576.1
3034	CAI3965581.1
3035	CAI3965586.1
3036	CAI3965591.1
3037	CAI3965596.1
3038	CAI3965601.1
3039	CAI3965606.1
3040	CAI3965611.1
3041	CAI3965616.1
3042	CAI3965621.1
3043	CAI3965626.1
3044	CAI3965632.1
3045	CAI3965637.1
3046	CAI3965642.1
3047	CAI3965647.1
3048	CAI3965652.1
3049	CAI3965657.1
3050	CAI3965662.1
3051	CAI3965667.1
3052	CAI3965672.1
3053	CAI3965677.1
3054	CAI3965682.1
3055	CAI3965687.1
3056	CAI3965692.1
3057	CAI3965697.1
3058	CAI3965702.1
3059	CAI3965707.1
3060	CAI3965712.1
3061	CAI3965717.1
3062	CAI3965723.1
3063	CAI3965728.1
3064	CAI3965733.1
3065	CAI3965738.1
3066	CAI3965743.1
3067	CAI3965748.1
3068	CAI3965753.1
3069	CAI3965758.1
3070	CAI3965763.1
3072	CAI3930705.1
3074	CAI3924759.1
3075	CAI3965778.1
3076	CAI3965783.1
3077	CAI3965788.1
3078	CAI3965793.1
3079	CAI3965798.1
3080	CAI3965804.1
3081	CAI3965809.1
3082	CAI3965814.1
3083	CAI3965819.1
3084	CAI3965824.1
3085	CAI3965829.1
3086	CAI3965834.1
3087	CAI3965844.1
3088	CAI3965849.1
3089	CAI3965854.1
3090	CAI3965859.1
3091	CAI3965864.1
3092	CAI3965869.1
3093	CAI3965874.1
3094	CAI3965880.1
3095	CAI3965885.1
3096	CAI3965890.1
3097	CAI3965895.1
3098	CAI3965900.1
3099	CAI3965905.1
3100	CAI3965910.1
3101	CAI3965915.1
3102	CAI3965920.1
3103	CAI3965925.1
3104	CAI3965930.1
3105	CAI3965935.1
3106	CAI3965940.1
3107	CAI3965945.1
3108	CAI3965950.1
3109	CAI3965955.1
3110	CAI3965960.1
3111	CAI3965965.1
3112	CAI3965970.1
3113	CAI3965975.1
3114	CAI3965980.1
3115	CAI3965985.1
3116	CAI3965990.1
3117	CAI3965995.1
3119	CAI3923595.1
3120	CAI3966005.1
3121	CAI3966010.1
3122	CAI3966015.1
3123	CAI3966020.1
3124	CAI3966025.1
3125	CAI3966030.1
3126	CAI3966035.1
3127	CAI3966040.1
3128	CAI3966045.1
3129	CAI3966050.1
3130	CAI3966055.1
3131	CAI3966059.1
3132	CAI3966064.1
3133	CAI3966069.1
3134	CAI3966074.1
3135	CAI3966079.1
3136	CAI3966083.1
3137	CAI3966088.1
3138	CAI3966093.1
3139	CAI3966098.1
3140	CAI3966103.1
3141	CAI3966108.1
3142	CAI3966113.1
3143	CAI3966118.1
3144	CAI3966123.1
3145	CAI3966128.1
3146	CAI3966133.1
3147	CAI3966138.1
3148	CAI3966143.1
3149	CAI3966148.1
3150	CAI3966153.1
3151	CAI3966158.1
3152	CAI3966163.1
3153	CAI3966168.1
3154	CAI3966174.1
3155	CAI3966180.1
3156	CAI3966185.1
3157	CAI3966190.1
3158	CAI3966195.1
3159	CAI3966200.1
3160	CAI3966205.1
3161	CAI3966210.1
3162	CAI3966215.1
3163	CAI3966220.1
3164	CAI3966225.1
3165	CAI3966230.1
3166	CAI3966235.1
3167	CAI3966240.1
3168	CAI3966245.1
3169	CAI3966255.1
3170	CAI3966260.1
3171	CAI3966265.1
3172	CAI3966270.1
3173	CAI3966275.1
3174	CAI3966280.1
3175	CAI3966285.1
3176	CAI3966290.1
3177	CAI3966293.1
3178	CAI3966298.1
3179	CAI3966303.1
3180	CAI3966308.1
3181	CAI3966311.1
3182	CAI3966316.1
3183	CAI3966321.1
3184	CAI3966326.1
3185	CAI3966331.1
3186	CAI3966336.1
3187	CAI3966346.1
3188	CAI3966352.1
3189	CAI3966357.1
3190	CAI3966362.1
3191	CAI3966367.1
3192	CAI3966372.1
3193	CAI3966377.1
3194	CAI3966382.1
3195	CAI3966387.1
3196	CAI3966392.1
3197	CAI3966397.1
3198	CAI3966402.1
3199	CAI3966407.1
3200	CAI3966413.1
3201	CAI3966418.1
3202	CAI3966423.1
3203	CAI3966433.1
3204	CAI3966438.1
3205	CAI3966443.1
3206	CAI3928395.1
3207	CAI3966453.1
3208	CAI3966458.1
3209	CAI3966463.1
3210	CAI3966468.1
3211	CAI3966473.1
3212	CAI3966478.1
3213	CAI3966483.1
3214	CAI3966488.1
3215	CAI3966493.1
3216	CAI3966498.1
3217	CAI3966503.1
3218	CAI3966508.1
3219	CAI3966513.1
3220	CAI3966518.1
3221	CAI3966523.1
3222	CAI3966528.1
3223	CAI3966533.1
3224	CAI3966538.1
3225	CAI3966543.1
3226	CAI3966548.1
3227	CAI3966553.1
3228	CAI3966558.1
3229	CAI3966563.1
3230	CAI3966568.1
3231	CAI3966573.1
3232	CAI3966578.1
3233	CAI3966583.1
3234	CAI3966588.1
3235	CAI3966593.1
3236	CAI3966599.1
3237	CAI3966604.1
3238	CAI3966609.1
3239	CAI3966614.1
3240	CAI3966619.1
3241	CAI3966625.1
3242	CAI3966630.1
3243	CAI3966635.1
3244	CAI3966640.1
3245	CAI3966645.1
3246	CAI3966650.1
3247	CAI3966655.1
3248	CAI3966660.1
3249	CAI3966665.1
3250	CAI3966670.1
3251	CAI3966672.1
3253	CAI3966677.1
3254	CAI3966682.1
3255	CAI3966687.1
3256	CAI3966692.1
3257	CAI3966697.1
3258	CAI3966702.1
3259	CAI3966707.1
3260	CAI3966712.1
3261	CAI3966717.1
3262	CAI3966722.1
3263	CAI3966727.1
3264	CAI3966730.1
3265	CAI3966735.1
3266	CAI3966740.1
3267	CAI3966746.1
3268	CAI3966751.1
3269	CAI3966756.1
3270	CAI3966761.1
3271	CAI3966767.1
3272	CAI3966772.1
3273	CAI3966777.1
3274	CAI3966782.1
3275	CAI3966787.1
3276	CAI3966792.1
3277	CAI3966797.1
3278	CAI3966802.1
3279	CAI3966807.1
3280	CAI3966812.1
3281	CAI3966817.1
3282	CAI3966823.1
3283	CAI3966828.1
3284	CAI3966838.1
3285	CAI3966845.1
3286	CAI3966850.1
3287	CAI3966855.1
3288	CAI3966860.1
3289	CAI3948514.1
3290	CAI3966870.1
3291	CAI3966875.1
3292	CAI3966880.1
3293	CAI3966885.1
3294	CAI3966891.1
3295	CAI3966896.1
3296	CAI3966901.1
3297	CAI3966906.1
3298	CAI3966911.1
3299	CAI3966916.1
3300	CAI3966921.1
3301	CAI3966926.1
3302	CAI3966928.1
3303	CAI3948092.1
3304	CAI3955433.1
3305	CAI3966943.1
3306	CAI3966948.1
3307	CAI3966953.1
3308	CAI3966958.1
3309	CAI3966963.1
3310	CAI3966968.1
3311	CAI3966973.1
3312	CAI3966978.1
3313	CAI3966983.1
3314	CAI3966988.1
3315	CAI3966993.1
3316	CAI3966996.1
3317	CAI3967001.1
3318	CAI3967006.1
3319	CAI3967011.1
3320	CAI3967016.1
3321	CAI3967021.1
3322	CAI3967026.1
3323	CAI3967032.1
3324	CAI3967034.1
3325	CAI3967039.1
3326	CAI3967044.1
3327	CAI3967050.1
3328	CAI3967055.1
3329	CAI3967060.1
3330	CAI3967065.1
3331	CAI3967070.1
3332	CAI3967075.1
3333	CAI3967080.1
3334	CAI3967085.1
3335	CAI3967090.1
3336	CAI3967095.1
3337	CAI3967100.1
3338	CAI3967105.1
3340	CAI3967110.1
3341	CAI3967115.1
3343	CAI3930705.1
3344	CAI3967125.1
3345	CAI3967130.1
3346	CAI3967135.1
3347	CAI3967141.1
3348	CAI3967146.1
3349	CAI3967151.1
3350	CAI3967155.1
3351	CAI3967160.1
3352	CAI3967165.1
3353	CAI3967170.1
3354	CAI3967175.1
3355	CAI3967180.1
3356	CAI3967185.1
3357	CAI3967191.1
3358	CAI3967196.1
3359	CAI3967201.1
3360	CAI3967206.1
3361	CAI3967211.1
3362	CAI3967216.1
3363	CAI3967222.1
3364	CAI3967227.1
3365	CAI3967232.1
3366	CAI3967237.1
3367	CAI3967242.1
3368	CAI3967247.1
3369	CAI3967252.1
3370	CAI3967258.1
3371	CAI3967263.1
3372	CAI3967268.1
3373	CAI3967273.1
3374	CAI3967278.1
3375	CAI3967283.1
3376	CAI3967288.1
3377	CAI3967294.1
3378	CAI3967299.1
3379	CAI3967304.1
3380	CAI3967309.1
3381	CAI3967314.1
3382	CAI3967319.1
3383	CAI3967324.1
3384	CAI3967329.1
3385	CAI3967335.1
3386	CAI3967338.1
3387	CAI3967344.1
3388	CAI3967349.1
3389	CAI3967354.1
3390	CAI3967359.1
3391	CAI3967364.1
3392	CAI3967369.1
3393	CAI3967374.1
3394	CAI3967379.1
3395	CAI3967384.1
3396	CAI3967389.1
3397	CAI3967394.1
3398	CAI3967399.1
3399	CAI3967404.1
3400	CAI3967409.1
3401	CAI3967414.1
3402	CAI3967419.1
3403	CAI3967424.1
3404	CAI3967429.1
3405	CAI3967434.1
3406	CAI3967439.1
3407	CAI3967443.1
3408	CAI3967448.1
3409	CAI3967453.1
3410	CAI3967458.1
3411	CAI3967463.1
3412	CAI3967468.1
3413	CAI3967473.1
3414	CAI3967478.1
3415	CAI3967483.1
3416	CAI3967488.1
3417	CAI3967494.1
3418	CAI3967499.1
3419	CAI3967504.1
3420	CAI3967509.1
3421	CAI3967514.1
3422	CAI3967519.1
3423	CAI3967524.1
3424	CAI3967529.1
3425	CAI3967534.1
3426	CAI3967537.1
3428	CAI3967110.1
3430	CAI3923595.1
3432	CAI3923595.1
3433	CAI3967557.1
3434	CAI3967562.1
3435	CAI3967567.1
3436	CAI3967572.1
3437	CAI3967577.1
3438	CAI3967582.1
3439	CAI3967587.1
3440	CAI3967592.1
3441	CAI3967597.1
3442	CAI3967602.1
3443	CAI3967608.1
3444	CAI3967613.1
3445	CAI3967618.1
3446	CAI3967623.1
3447	CAI3967628.1
3448	CAI3967633.1
3449	CAI3967643.1
3450	CAI3967648.1
3451	CAI3967653.1
3452	CAI3967658.1
3453	CAI3967663.1
3454	CAI3967668.1
3455	CAI3967674.1
3456	CAI3967679.1
3457	CAI3967684.1
3458	CAI3967689.1
3459	CAI3967693.1
3460	CAI3967698.1
3461	CAI3967703.1
3462	CAI3967708.1
3463	CAI3967713.1
3464	CAI3967718.1
3465	CAI3967723.1
3466	CAI3967728.1
3467	CAI3967733.1
3468	CAI3967738.1
3469	CAI3967743.1
3470	CAI3967748.1
3471	CAI3967753.1
3472	CAI3967764.1
3473	CAI3967769.1
3474	CAI3967773.1
3475	CAI3967778.1
3476	CAI3967783.1
3477	CAI3967788.1
3478	CAI3967793.1
3479	CAI3967798.1
3480	CAI3967803.1
3481	CAI3967808.1
3482	CAI3967813.1
3483	CAI3967818.1
3484	CAI3967823.1
3485	CAI3967828.1
3487	CAI3967833.1
3488	CAI3967838.1
3489	CAI3967843.1
3490	CAI3967848.1
3491	CAI3967853.1
3492	CAI3967858.1
3493	CAI3967863.1
3494	CAI3967867.1
3495	CAI3967872.1
3496	CAI3967877.1
3497	CAI3967882.1
3498	CAI3967887.1
3499	CAI3967892.1
3500	CAI3967897.1
3501	CAI3967902.1
3502	CAI3967907.1
3503	CAI3967912.1
3504	CAI3967917.1
3505	CAI3967922.1
3506	CAI3967927.1
3507	CAI3967932.1
3508	CAI3967937.1
3509	CAI3967942.1
3510	CAI3967947.1
3511	CAI3967952.1
3512	CAI3967957.1
3513	CAI3967963.1
3514	CAI3967968.1
3515	CAI3967973.1
3516	CAI3967978.1
3517	CAI3967983.1
3518	CAI3967988.1
3519	CAI3967993.1
3520	CAI3967998.1
3521	CAI3968003.1
3522	CAI3968008.1
3523	CAI3968013.1
3524	CAI3968018.1
3525	CAI3968023.1
3526	CAI3968028.1
3527	CAI3968033.1
3528	CAI3968043.1
3529	CAI3968048.1
3530	CAI3968053.1
3531	CAI3968058.1
3532	CAI3968063.1
3533	CAI3968068.1
3534	CAI3968073.1
3535	CAI3968078.1
3536	CAI3968083.1
3537	CAI3968088.1
3538	CAI3968093.1
3539	CAI3968098.1
3540	CAI3968103.1
3541	CAI3968108.1
3542	CAI3968113.1
3543	CAI3968118.1
3544	CAI3968123.1
3545	CAI3968128.1
3546	CAI3968133.1
3547	CAI3968138.1
3548	CAI3968143.1
3549	CAI3968148.1
3550	CAI3968153.1
3551	CAI3968158.1
3552	CAI3968163.1
3553	CAI3968168.1
3554	CAI3968173.1
3555	CAI3968178.1
3556	CAI3968183.1
3557	CAI3968188.1
3558	CAI3968193.1
3559	CAI3968198.1
3560	CAI3968203.1
3561	CAI3968208.1
3562	CAI3968213.1
3563	CAI3968218.1
3564	CAI3968223.1
3565	CAI3968228.1
3566	CAI3968238.1
3567	CAI3968243.1
3568	CAI3968248.1
3569	CAI3968253.1
3570	CAI3968258.1
3571	CAI3968263.1
3572	CAI3968268.1
3573	CAI3968273.1
3574	CAI3968278.1
3575	CAI3968283.1
3576	CAI3968288.1
3577	CAI3968293.1
3578	CAI3968298.1
3579	CAI3968303.1
3580	CAI3968309.1
3581	CAI3968314.1
3582	CAI3968319.1
3583	CAI3968324.1
3584	CAI3968329.1
3585	CAI3968334.1
3586	CAI3968339.1
3587	CAI3968344.1
3588	CAI3968349.1
3589	CAI3968354.1
3590	CAI3968359.1
3591	CAI3968364.1
3592	CAI3968371.1
3593	CAI3968377.1
3594	CAI3968382.1
3595	CAI3968387.1
3596	CAI3968392.1
3597	CAI3968397.1
3598	CAI3968402.1
3599	CAI3968407.1
3600	CAI3968412.1
3601	CAI3968417.1
3602	CAI3968422.1
3603	CAI3968427.1
3604	CAI3968432.1
3605	CAI3968437.1
